county,fips,enroll,ma,om,dual,a75,a85,ffs_benes,nh_fac,nh_bed,nh_res,sl_bed,mc_bed,alf_bed,alf_fac,mc_fac,sl_fac,pch_bed,pch_fac,ma_pct,dual_pct,enroll_p,a75_p,g5_enroll,g5_a75,avg_age,feml_pct,wht_pct,blk_pct,hsp_pct,pc,pc_std,tot_amt,ip_pct,ip_stays,ip_days,ip_per_user,readmit,er,er_pct,op_pct,op_visits,snf_pct,snf_stays,snf_days,snf_per_user,irf_pct,irf_stays,ltch_pct,ltch_stays,hh_pct,hh_eps,hh_visits,hh_per_user,hospc_pct,hospc_stays,hospc_days,em_pct,em_events,dme_pct,dme_events,tests_pct,imgng_pct,fqhc_pct,fqhc_visits,amblnc_pct,amblnc_events,pc_ip,pc_op,pc_asc,pc_snf,pc_irf,pc_ltch,pc_hh,pc_hospc,pc_em,pc_prcdrs,pc_tests,pc_imgng,pc_dme,pc_op_dlys,pc_fqhc_rhc,pc_amblnc,pc_trtmnts,home_pc,acute_pc,inst_pc,eol_pc,sl_per1k,nh_per1k,per_bed,mc_share,nh_occ,bed_gap,bed_gap_state
Jefferson,01073,139021,92016,47006,27496,52038,12838,34085,34,3963,3326.4,1466,552,914,15,13,28,0,0,0.6619,0.1978,132494,43630,0.0493,0.1927,73.0,0.5584,0.6998,0.2597,0.0091,13521.24,13901.91,460871345.0,0.1534,242.5994,1447.4989,23935.81,0.1842,599.0025,0.3084,0.6047,3262.3735,0.0303,40.135,1115.7987,15579.43,0.02,23.1774,0.0009,1.0562,0.1065,351.0342,2621.417,5388.61,0.0422,44.9758,3954.0267,0.89,16425.2604,0.2545,1466.5102,0.7998,0.7581,0.0348,272.7593,0.1308,312.8649,3670.6,2080.45,144.04,472.62,514.65,51.94,574.04,648.17,1153.89,486.05,394.93,300.04,775.5,268.99,60.81,118.96,1655.53,4914.74,6769.09,1039.21,648.17,28.17,63.92,35.5,0.3765,0.8394,-40,-128
Shelby,01117,44320,26925,17395,3724,18201,4055,13370,3,392,372.4,681,250,431,10,7,17,0,0,0.6075,0.084,38904,13710,0.1392,0.3276,74.0,0.5663,0.8907,0.0637,0.0132,13156.05,13898.12,175896385.0,0.147,224.3082,1193.7921,20961.23,0.1739,557.7412,0.2951,0.6071,3020.4188,0.0217,27.3747,660.6582,13239.9,0.0275,31.264,,,0.1046,317.1279,2352.0568,4972.24,0.0413,44.1286,3750.187,0.936,17441.3613,0.2769,1548.2423,0.8597,0.8093,0.0185,101.4959,0.1276,268.736,3080.69,2034.55,195.43,287.18,626.79,,519.91,613.63,1234.66,621.57,444.16,354.61,811.4,130.37,19.27,111.23,1903.03,5287.04,6173.84,913.97,613.63,37.42,20.46,26.7,0.3671,0.95,-182,-213
St. Clair,01115,20948,13913,7035,3326,7635,1667,5498,4,374,319.6,140,0,140,3,0,3,0,0,0.6642,0.1588,19295,6231,0.0857,0.2253,73.0,0.5353,0.9172,0.0547,0.0065,13370.53,13995.59,73511187.0,0.1732,281.5569,1549.8363,22441.76,0.1936,602.9465,0.3114,0.5946,2739.5417,0.0295,40.0146,918.5158,13784.91,0.0155,18.7341,,,0.1111,358.3121,2525.6457,5198.48,0.0435,46.9262,3641.506,0.9163,15944.7072,0.2885,1768.4613,0.8456,0.7947,0.038,355.2201,0.1457,401.6006,3885.88,2109.74,177.75,406.18,406.26,,577.71,599.03,1140.13,593.2,459.84,357.63,606.1,199.2,83.43,178.57,1470.51,4695.35,7144.34,812.44,599.03,18.34,41.86,54.5,0.0,0.8545,69,56
Walker,01127,17156,11469,5687,3929,6137,1434,4946,5,526,473.0,148,30,118,4,2,6,0,0,0.6685,0.229,17537,5564,-0.0217,0.103,72.0,0.5299,0.9424,0.0408,0.0051,13716.42,14279.36,67841428.0,0.1799,285.8876,1487.869,22696.95,0.1795,600.6874,0.3031,0.6227,2384.7554,0.0364,50.7481,1132.0259,12653.22,0.0133,14.7594,,,0.1231,460.7764,3060.6551,5134.88,0.0574,64.4966,7057.218,0.9064,15317.0239,0.2796,1530.3275,0.8712,0.7865,0.2046,1562.2725,0.1531,372.4222,4084.17,1769.96,61.37,460.49,344.03,,632.26,1104.79,1123.84,559.15,505.65,361.6,604.0,141.84,240.59,240.51,1322.1,4790.04,6857.0,804.52,1104.79,24.12,77.07,41.5,0.2027,0.8992,20,10
Blount,01009,12430,8338,4092,2082,4731,992,3470,2,223,200.8,122,66,56,2,3,5,0,0,0.6708,0.1675,13184,4400,-0.0572,0.0752,73.0,0.532,0.9504,0.011,0.0236,13119.81,13861.0,45525756.0,0.1646,253.0259,1313.5447,19551.45,0.1418,594.2363,0.3121,0.6,3010.3746,0.0378,48.9914,1063.4006,17579.85,0.0133,14.121,,,0.1205,423.3429,3237.1758,5693.6,0.0438,45.8213,4497.1182,0.8839,14164.5533,0.3084,1935.1585,0.8032,0.755,0.2741,1726.513,0.1447,326.513,3217.26,1953.33,132.69,663.68,308.05,,685.86,725.5,998.56,517.73,396.3,312.58,955.62,137.98,267.58,175.09,1524.08,5140.58,6134.08,971.73,725.5,25.79,42.44,38.8,0.541,0.9004,8,0
Chilton,01021,9948,7160,2788,2055,3490,733,2278,1,201,95.9,16,0,16,1,0,1,0,0,0.7197,0.2066,9668,3019,0.029,0.156,72.0,0.543,0.9183,0.0549,0.0136,13822.71,14438.31,31488131.0,0.1435,221.6857,1147.0588,24567.47,0.2126,645.7419,0.3191,0.6247,2687.4451,0.0184,24.144,534.2406,12814.28,0.0237,27.2169,,,0.1054,310.7989,2237.489,4782.67,0.0492,51.3608,4638.7182,0.9074,16487.2695,0.2608,1693.5909,0.856,0.7717,0.1255,553.1168,0.1326,288.8499,3526.59,2124.82,170.4,236.26,559.53,,503.88,752.52,1123.21,621.46,457.42,410.88,641.22,121.18,77.02,156.05,2195.56,5409.19,6720.5,795.79,752.52,4.58,27.48,218.1,0.0,0.4771,80,74
Bibb,01007,4830,3323,1507,1117,1650,391,1227,1,131,108.3,0,0,0,0,0,0,0,0,0.688,0.2313,4736,1420,0.0198,0.162,71.0,0.5232,,,,11629.87,11909.65,14269845.0,0.163,254.2787,1564.7922,22357.1,0.1357,625.1019,0.3227,0.6683,3365.1182,0.053,70.9046,2193.154,16883.95,0.013,14.6699,,,0.0937,351.2632,2295.8435,5807.48,0.0399,40.7498,3638.9568,0.8215,11696.8215,0.22,1576.2021,0.7416,0.7074,0.4784,3488.1826,0.1157,261.6137,3644.19,1559.35,133.22,894.42,353.46,,544.3,588.04,821.87,414.43,337.65,244.0,484.19,,358.35,121.94,769.23,3559.59,5873.13,1247.88,588.04,0.0,65.64,,,0.8267,45,42
