county,fips,enroll,ma,om,dual,a75,a85,ffs_benes,nh_fac,nh_bed,nh_res,sl_bed,mc_bed,alf_bed,alf_fac,mc_fac,sl_fac,pch_bed,pch_fac,ma_pct,dual_pct,enroll_p,a75_p,g5_enroll,g5_a75,avg_age,feml_pct,wht_pct,blk_pct,hsp_pct,pc,pc_std,tot_amt,ip_pct,ip_stays,ip_days,ip_per_user,readmit,er,er_pct,op_pct,op_visits,snf_pct,snf_stays,snf_days,snf_per_user,irf_pct,irf_stays,ltch_pct,ltch_stays,hh_pct,hh_eps,hh_visits,hh_per_user,hospc_pct,hospc_stays,hospc_days,em_pct,em_events,dme_pct,dme_events,tests_pct,imgng_pct,fqhc_pct,fqhc_visits,amblnc_pct,amblnc_events,pc_ip,pc_op,pc_asc,pc_snf,pc_irf,pc_ltch,pc_hh,pc_hospc,pc_em,pc_prcdrs,pc_tests,pc_imgng,pc_dme,pc_op_dlys,pc_fqhc_rhc,pc_amblnc,pc_trtmnts,home_pc,acute_pc,inst_pc,eol_pc,sl_per1k,nh_per1k,per_bed,mc_share,nh_occ,bed_gap
Crane,48103,668,311,357,93,255,39,295,1,110,65.6,0,0,0,0,0,0,0,0,0.4656,0.1392,677,226,-0.0133,0.1283,73.0,0.5186,,,,15245.51,13837.48,4497426.0,0.1424,220.339,1169.4915,31784.83,,566.1017,0.278,0.6814,4433.8983,0.0441,57.6271,1189.8305,51550.43,,,0.0,0.0,0.0712,474.5763,2569.4915,9116.63,0.0441,50.8475,4989.8305,0.6915,8657.6271,0.1593,1037.2881,0.5186,0.6102,0.5627,2542.3729,0.1424,254.2373,4525.3,2567.64,303.73,2271.71,,0.0,648.98,809.72,634.89,369.77,184.73,150.16,245.13,,345.97,177.12,1609.04,3818.9,7943.56,2271.71,809.72,0.0,257.25,,,0.5964,11
Lipscomb,48295,667,195,472,46,252,41,413,1,40,40.4,0,0,0,0,0,0,0,0,0.2924,0.069,609,212,0.0952,0.1887,75.0,0.5133,,,,13982.1,13722.98,5774606.0,0.1356,210.6538,1111.3801,26202.76,0.1899,709.4431,0.3172,0.7361,4794.1889,0.0605,84.7458,1576.2712,44535.55,,,,,0.0702,186.4407,992.7361,4121.21,,,,0.8087,8847.4576,0.2155,1169.4915,0.6392,0.6998,0.5956,3065.3753,0.1404,249.3947,3552.92,2628.38,139.61,2695.86,,,289.38,,628.21,505.28,297.15,306.33,244.83,,432.27,341.28,1334.07,3532.24,7167.47,2695.86,,0.0,160.32,,,1.01,11
Upton,48461,657,281,376,84,212,40,296,1,30,27.2,0,0,0,0,0,0,0,0,0.4277,0.1279,587,194,0.1193,0.0928,73.0,0.473,,,,25621.32,24815.01,7583909.0,0.1689,280.4054,1543.9189,30636.79,0.1842,864.8649,0.3581,0.7534,6300.6757,0.0642,87.8378,1584.4595,152878.96,,,,,0.0642,358.1081,2283.7838,8142.82,0.0473,57.4324,2986.4865,0.7601,10246.6216,0.1959,1327.7027,0.4696,0.6486,0.6385,3128.3784,0.152,351.3514,5175.13,4162.15,96.38,9813.18,,,522.68,539.87,791.11,403.7,216.23,166.3,520.02,,687.09,328.86,1321.1,4224.53,10166.22,9813.18,539.87,0.0,128.3,,,0.9067,9
Schleicher,48413,645,222,423,95,256,45,371,1,34,31.0,0,0,0,0,0,0,0,0,0.3442,0.1473,594,190,0.0859,0.3474,74.0,0.4879,,,,13274.01,12557.45,4924656.0,0.1456,207.5472,1016.1725,18043.22,,644.2049,0.3019,0.8544,8234.5013,,,,,,,0.0,0.0,0.0755,355.7951,1716.9811,6448.26,,,,0.841,9773.5849,0.2129,1285.7143,0.7143,0.7305,0.5418,2159.0296,0.1132,210.2426,2626.24,5040.12,,,,0.0,486.66,,811.38,388.84,245.32,165.76,364.5,,514.76,245.78,247.08,2835.46,8300.98,0,,0.0,121.09,,,0.9118,11
Edwards,48137,638,299,339,68,258,44,299,0,0,0,0,0,0,0,0,0,0,0,0.4687,0.1066,539,189,0.1837,0.3651,73.0,0.4582,,,,10090.97,9753.63,3017201.0,0.1104,173.913,916.388,25003.73,,458.194,0.2408,0.6288,3367.893,,,,,,,,,0.0468,183.9465,1003.3445,5776.19,,,,0.7893,10648.8294,0.1472,1050.1672,0.6722,0.6087,0.4415,1802.6756,0.1104,224.0803,2759.61,1695.81,94.79,,,,270.46,,821.55,428.6,225.56,210.22,226.74,,198.32,284.0,569.99,2522.84,5262.81,0,,0.0,0.0,,,,11
Dickens,48125,584,241,343,82,221,47,299,0,0,0,0,0,0,0,0,0,0,0,0.4127,0.1404,540,195,0.0815,0.1333,74.0,0.5251,,,,15130.34,14633.32,4523970.0,0.1706,254.1806,1468.2274,23843.18,,635.4515,0.311,0.709,4180.602,0.0502,56.8562,2725.7525,20401.26,,,0.0,0.0,0.0903,441.4716,2953.1773,7241.09,0.0535,60.2007,6525.0836,0.8462,12618.7291,0.2441,1501.6722,0.6589,0.6957,0.3779,1033.4448,0.1171,257.5251,4066.9,2335.15,197.45,1023.47,,0.0,653.88,1071.49,883.58,425.19,252.68,153.07,686.46,,227.09,282.36,1614.98,4471.74,7307.05,1023.47,1071.49,0.0,0.0,,,,9
Cochran,48079,536,281,255,120,199,41,212,0,0,0,0,0,0,0,0,0,0,0,0.5243,0.2239,559,199,-0.0411,0.0,74.0,0.4623,,,,10637.5,10575.07,2255149.0,0.1179,141.5094,584.9057,15680.95,,589.6226,0.2642,0.7594,4278.3019,,,,,,,0.0,0.0,0.1132,419.8113,2603.7736,5795.96,,,,0.783,7896.2264,0.2547,1301.8868,0.5849,0.6792,0.6651,2698.1132,0.1368,245.283,1849.17,2443.93,109.62,,,0.0,656.15,,561.11,231.93,155.04,154.29,530.55,,387.64,197.9,446.09,2890.87,4832.55,0,,0.0,0.0,,,,9
Armstrong,48011,518,191,326,45,182,36,287,1,66,32.0,20,0,20,1,0,1,0,0,0.3687,0.0869,448,157,0.1562,0.1592,74.0,0.5505,,,,13215.02,13816.2,3792710.0,0.1463,247.3868,1149.8258,19696.09,,526.1324,0.2962,0.5331,2414.6341,0.0557,66.2021,1794.4251,14534.3,,,,,0.0976,400.6969,3951.2195,7010.98,0.0453,48.7805,7843.2056,0.9129,15668.9895,0.2369,1439.0244,0.8188,0.7979,0.2927,1205.5749,0.1254,195.122,2882.36,1063.7,495.5,810.27,,,684.0,1239.4,1053.05,481.26,381.36,412.91,323.43,,140.68,144.8,1890.34,4885.77,5067.62,810.27,1239.4,109.89,175.82,9.1,0.0,0.4848,-12
Hartley,48205,516,144,372,42,235,50,355,0,0,0,0,0,0,0,0,0,0,0,0.2791,0.0814,664,330,-0.2229,-0.2879,76.0,0.5465,,,,13412.85,13120.09,4761562.0,0.1352,200.0,690.1408,22002.97,,718.3099,0.3352,0.7493,6833.8028,0.0423,50.7042,923.9437,42498.37,,,0.0,0.0,0.0592,250.7042,1766.1972,6915.94,0.031,33.8028,2166.1972,0.8366,10735.2113,0.2817,1630.9859,0.7155,0.7352,0.5324,1878.8732,0.1268,245.0704,2975.05,2624.36,456.74,1795.71,,0.0,409.11,364.14,742.73,482.83,336.95,417.8,347.36,,272.26,265.1,1504.95,4031.16,6804.08,1795.71,364.14,0.0,0.0,,,,10
Culberson,48109,511,183,328,105,202,29,289,0,0,0,0,0,0,0,0,0,0,0,0.3581,0.2055,552,177,-0.0743,0.1412,73.0,0.5329,,,,20217.95,19674.02,5842987.0,0.1869,266.436,1546.7128,23629.06,0.1667,851.2111,0.3529,0.699,5487.8893,0.0554,89.9654,2456.7474,126153.7,,,,,0.0934,442.9066,3591.6955,6971.29,,,,0.692,12176.4706,0.2042,1207.6125,0.4983,0.6574,0.5986,3152.2491,0.083,207.6125,4415.12,3116.65,158.54,6984.29,,,651.3,,933.45,347.64,232.75,224.43,434.17,,797.28,130.07,596.16,3869.54,8168.02,6984.29,,0.0,0.0,,,,9
