county,fips,enroll,ma,om,dual,a75,a85,ffs_benes,nh_fac,nh_bed,nh_res,sl_bed,mc_bed,alf_bed,alf_fac,mc_fac,sl_fac,pch_bed,pch_fac,ma_pct,dual_pct,enroll_p,a75_p,g5_enroll,g5_a75,avg_age,feml_pct,wht_pct,blk_pct,hsp_pct,pc,pc_std,tot_amt,ip_pct,ip_stays,ip_days,ip_per_user,readmit,er,er_pct,op_pct,op_visits,snf_pct,snf_stays,snf_days,snf_per_user,irf_pct,irf_stays,ltch_pct,ltch_stays,hh_pct,hh_eps,hh_visits,hh_per_user,hospc_pct,hospc_stays,hospc_days,em_pct,em_events,dme_pct,dme_events,tests_pct,imgng_pct,fqhc_pct,fqhc_visits,amblnc_pct,amblnc_events,pc_ip,pc_op,pc_asc,pc_snf,pc_irf,pc_ltch,pc_hh,pc_hospc,pc_em,pc_prcdrs,pc_tests,pc_imgng,pc_dme,pc_op_dlys,pc_fqhc_rhc,pc_amblnc,pc_trtmnts,home_pc,acute_pc,inst_pc,eol_pc,sl_per1k,nh_per1k,per_bed,mc_share,nh_occ,bed_gap
Polk,29167,7815,4974,2840,1323,3122,802,2487,4,369,288.8,170,0,170,5,0,5,0,0,0.6365,0.1693,7218,2683,0.0827,0.1636,72.0,0.5283,,,,11597.06,11774.44,28841896.0,0.1307,184.1576,866.1037,22488.66,0.1432,516.2847,0.273,0.8283,9396.4616,0.033,42.2195,1296.341,18288.36,0.0109,12.4648,,,0.0503,110.575,866.9079,3645.45,0.0326,32.9715,2879.7748,0.8436,8872.5372,0.2903,1778.0458,0.6265,0.7286,0.6691,3957.3784,0.0117,23.7234,2938.81,3203.22,34.75,602.99,290.92,,183.23,467.87,627.2,400.85,287.49,135.99,390.89,103.65,514.22,15.74,1157.2,3296.22,6697.02,893.91,467.87,54.45,92.5,18.4,0.0,0.7827,-5
Stoddard,29207,7675,3174,4501,1726,2924,797,4171,7,477,343.2,227,0,227,5,0,5,0,0,0.4136,0.2249,7545,2713,0.0172,0.0778,73.0,0.5509,0.9784,0.007,0.0034,10992.06,11078.94,45847861.0,0.1357,199.7123,983.4572,21047.57,0.1671,581.1556,0.3023,0.738,5006.713,0.0398,56.5812,2115.5598,21621.92,0.0096,9.59,0.0026,2.6373,0.0628,156.7969,1092.0643,4069.83,0.0393,43.1551,3750.1798,0.8245,8794.7734,0.2819,2181.731,0.7315,0.7387,0.7523,3826.4205,0.1513,341.6447,2856.13,2587.19,104.1,860.52,209.67,86.55,255.64,598.41,593.24,391.66,290.04,158.26,586.01,120.11,401.87,218.52,457.57,2742.63,6277.71,1156.74,598.41,77.63,117.37,12.9,0.0,0.7195,-72
Pulaski,29169,7629,3189,4440,1241,2400,534,4070,2,206,123.0,0,0,0,0,0,0,0,0,0.418,0.1627,6511,1962,0.1717,0.2232,71.0,0.5113,0.8538,0.0602,0.0241,11349.12,10972.31,46190920.0,0.1344,217.9361,1166.5848,27880.92,0.2067,485.258,0.2418,0.7138,6473.9558,0.0366,50.3686,1387.9607,16877.61,0.0113,12.5307,,,0.0587,155.774,1342.0147,4671.39,0.0273,28.2555,1577.3956,0.7966,8493.8575,0.2324,1729.7297,0.6939,0.686,0.5533,2450.3686,0.1477,314.4963,3747.14,3216.33,29.74,617.88,274.45,,274.32,272.23,617.34,362.55,231.92,134.04,441.47,140.07,270.8,233.52,330.08,2299.97,7729.35,892.33,272.23,0.0,51.25,,,0.5971,127
Benton,29015,7513,3868,3645,1125,2824,676,3268,3,228,162.0,103,0,103,5,0,5,0,0,0.5148,0.1497,7024,2499,0.0696,0.1301,73.0,0.504,,,,11206.23,11033.03,36621975.0,0.145,206.8543,973.3782,23138.82,0.1398,496.94,0.2714,0.7895,7920.7466,0.0398,51.4076,1179.9266,13062.63,0.0086,10.4039,,,0.0499,104.3452,940.3305,3830.03,0.0266,27.8458,1941.8605,0.8357,8690.6365,0.2439,1768.3599,0.6564,0.7323,0.5679,2192.7785,0.1389,241.1261,3356.12,3433.65,160.6,519.63,225.34,,191.03,325.85,601.39,410.65,240.29,137.62,405.43,95.5,307.26,239.43,422.2,2305.22,7695.95,744.97,325.85,36.47,57.37,27.4,0.0,0.7105,46
Marion,29127,7047,2428,4618,1284,2659,664,4235,5,450,285.0,151,0,151,3,0,3,0,0,0.3445,0.1822,6693,2325,0.0529,0.1437,72.0,0.5537,0.9473,0.0246,0.0033,13093.84,12767.54,55452429.0,0.158,269.1854,1422.6682,27649.89,0.2082,678.1582,0.3202,0.7584,6251.7119,0.0319,46.0449,1004.0142,13547.97,0.0248,28.3353,,,0.0484,97.5207,981.3459,3332.97,0.0267,27.3908,1257.8512,0.8692,10769.0673,0.2678,2093.7426,0.8146,0.7733,0.7998,3346.6352,0.1315,291.8536,4367.83,3278.78,172.29,431.87,633.5,,161.34,215.17,751.09,434.49,337.3,222.01,386.6,178.23,340.58,207.92,803.75,3002.67,8639.54,1065.37,215.17,56.79,107.18,17.6,0.0,0.6333,-10
Dunklin,29069,6823,3031,3792,2126,2374,599,3629,4,390,253.7,268,0,268,5,0,5,0,0,0.4442,0.3116,7184,2364,-0.0503,0.0042,72.0,0.5459,0.9322,0.0353,0.0154,13205.77,13661.29,47923746.0,0.1764,300.0827,1508.4045,20824.03,0.1928,694.1306,0.3144,0.7368,5923.6704,0.0521,76.3296,2239.4599,21087.31,0.0201,22.0446,,,0.0738,244.1444,1618.9033,5190.43,0.0408,43.5382,3578.3963,0.8509,13152.108,0.2747,1990.0799,0.7859,0.7418,0.5679,3469.8264,0.1642,449.7107,3672.47,2948.43,123.28,1098.24,503.6,,383.31,578.39,894.11,380.63,457.68,179.69,395.18,118.14,362.84,341.91,457.56,3130.37,7584.86,1601.84,578.39,112.89,106.87,8.9,0.0,0.6505,-142
Texas,29215,6685,3025,3660,1277,2571,650,3430,3,255,160.0,78,0,78,2,0,2,0,0,0.4525,0.191,6397,2350,0.045,0.094,73.0,0.5233,0.9665,0.0032,0.0105,11421.1,11178.15,39174383.0,0.1466,217.2012,1085.4227,25252.13,0.1791,611.6618,0.3003,0.7204,6272.8863,0.0391,51.0204,1184.5481,14084.23,0.0082,8.4548,,,0.042,95.0437,688.0466,3756.52,0.0251,27.1137,1908.7464,0.7843,7791.2536,0.263,2008.4548,0.6703,0.6945,0.6641,2926.8222,0.0341,60.0583,3703.15,3387.67,79.47,550.23,204.13,,157.71,316.62,561.08,385.6,234.23,126.22,459.11,85.03,390.51,79.97,425.91,2354.77,7720.89,754.36,316.62,30.34,62.23,33.0,0.0,0.6275,58
Henry,29083,6595,3395,3200,1102,2540,653,2930,3,300,158.6,138,42,96,4,1,4,0,0,0.5148,0.1671,6197,2226,0.0642,0.1411,73.0,0.5331,0.9706,0.0065,0.0065,13523.68,13159.61,39624379.0,0.1567,243.0034,1068.6007,24577.29,0.182,640.9556,0.3085,0.8543,10257.3379,0.0372,51.5358,1378.157,19667.75,0.0072,7.1672,0.0,0.0,0.0488,110.2389,865.8703,4208.01,0.0324,35.4949,2558.3618,0.8413,8422.5256,0.2331,1866.5529,0.6106,0.7423,0.7372,3166.8942,0.0529,90.4437,3850.16,4813.14,157.27,731.67,182.68,0.0,205.37,420.0,620.13,372.0,292.9,144.88,453.46,,520.39,106.96,451.45,2688.58,9299.53,914.35,420.0,54.33,62.44,18.4,0.3043,0.5287,-4
Morgan,29141,6174,3132,3043,937,2289,546,2737,3,286,145.6,134,0,134,4,0,4,0,0,0.5073,0.1518,5684,2095,0.0862,0.0926,73.0,0.525,,,,10420.03,10292.3,28519624.0,0.1392,201.3153,967.1173,20683.51,0.1516,588.6007,0.3182,0.779,6718.3047,0.0424,59.5543,1434.0519,15412.72,0.0051,6.2112,,,0.0577,125.3197,913.7742,3667.63,0.0311,31.7866,1538.9112,0.8458,9224.6986,0.2357,1669.346,0.6485,0.7329,0.4874,1601.023,0.1469,273.2919,2879.22,2891.11,143.52,653.22,178.89,,211.72,264.76,607.58,433.16,214.02,213.15,300.57,,175.77,188.79,856.49,2579.3,6535.8,832.11,264.76,58.54,63.61,17.1,0.0,0.5091,-13
Crawford,29055,5998,3873,2125,1080,2204,523,1934,3,222,152.0,201,32,169,6,1,6,0,0,0.6457,0.1801,5951,1981,0.0079,0.1126,72.0,0.5181,,,,10559.49,11286.53,20422053.0,0.1484,230.0931,1186.1427,21360.64,0.2068,617.3733,0.3066,0.7415,5833.5057,0.0284,43.9504,959.152,16172.34,0.0145,15.5119,,,0.0745,178.9038,1393.485,4308.37,0.0336,33.6091,1902.7921,0.8257,8893.485,0.2415,1797.3113,0.7254,0.7234,0.6277,2433.8159,0.1236,270.424,3169.86,2388.95,77.13,459.92,362.02,,320.79,331.04,662.14,352.03,259.39,143.29,364.54,267.33,399.38,200.25,475.62,2625.15,6455.55,821.94,331.04,91.2,68.97,11.0,0.1592,0.6847,-84
