county,fips,enroll,ma,om,dual,a75,a85,ffs_benes,nh_fac,nh_bed,nh_res,sl_bed,mc_bed,alf_bed,alf_fac,mc_fac,sl_fac,pch_bed,pch_fac,ma_pct,dual_pct,enroll_p,a75_p,g5_enroll,g5_a75,avg_age,feml_pct,wht_pct,blk_pct,hsp_pct,pc,pc_std,tot_amt,ip_pct,ip_stays,ip_days,ip_per_user,readmit,er,er_pct,op_pct,op_visits,snf_pct,snf_stays,snf_days,snf_per_user,irf_pct,irf_stays,ltch_pct,ltch_stays,hh_pct,hh_eps,hh_visits,hh_per_user,hospc_pct,hospc_stays,hospc_days,em_pct,em_events,dme_pct,dme_events,tests_pct,imgng_pct,fqhc_pct,fqhc_visits,amblnc_pct,amblnc_events,pc_ip,pc_op,pc_asc,pc_snf,pc_irf,pc_ltch,pc_hh,pc_hospc,pc_em,pc_prcdrs,pc_tests,pc_imgng,pc_dme,pc_op_dlys,pc_fqhc_rhc,pc_amblnc,pc_trtmnts,home_pc,acute_pc,inst_pc,eol_pc,sl_per1k,nh_per1k,per_bed,mc_share,nh_occ,bed_gap
Vance,37181,10999,7415,3584,3104,4059,944,3145,3,230,184.9,97,24,73,3,1,3,0,0,0.6742,0.2822,10428,3362,0.0548,0.2073,71.0,0.5316,0.6203,0.3418,0.013,13002.08,12305.27,40891531.0,0.1545,239.7456,1538.3148,27671.83,0.1801,770.4293,0.3234,0.6827,4680.4452,0.0397,50.8744,1679.8092,19500.15,0.0102,11.1288,,,0.0785,227.9809,1446.4229,5123.01,0.0277,27.663,1417.1701,0.861,14034.9762,0.2843,1772.973,0.7882,0.7119,0.3266,1164.3879,0.1593,426.3911,4276.16,2733.92,78.45,775.05,248.22,,402.35,262.45,1011.88,458.38,257.67,186.63,581.25,469.73,154.01,165.52,623.96,3217.75,8182.16,1023.27,262.45,23.9,45.55,41.8,0.2474,0.8039,78
Transylvania,37175,10938,5478,5460,1046,5032,1268,5177,3,267,185.0,136,60,76,4,1,4,0,0,0.5008,0.0956,10448,4390,0.0469,0.1462,75.0,0.5461,0.9403,0.0135,0.0083,10383.15,10746.28,53753589.0,0.1398,216.7278,1027.0427,19141.59,0.1796,395.0164,0.2121,0.7516,4735.368,0.0442,55.0512,1235.2714,16552.26,0.005,5.6017,,,0.0877,242.4184,2032.2581,4754.93,0.0309,31.6786,1945.7215,0.9162,11962.3334,0.2393,1606.5289,0.7315,0.7844,0.5258,1752.7526,0.1261,259.6098,2676.94,1622.6,145.41,732.17,128.64,,416.99,351.59,873.08,426.55,300.19,167.99,420.07,76.43,259.74,124.6,1445.19,3883.25,5072.53,860.81,351.59,27.03,36.76,37.0,0.4412,0.6929,82
Richmond,37153,10696,6851,3846,2823,3765,850,3641,2,225,158.8,180,54,126,3,1,3,0,0,0.6405,0.2639,10484,3218,0.0202,0.17,72.0,0.5284,0.777,0.1804,0.0146,11434.27,11425.79,41632174.0,0.1524,227.9594,1088.4372,20068.6,0.1511,763.8012,0.3414,0.7006,4476.7921,0.0258,35.1552,1044.2186,20215.27,0.0036,3.8451,,,0.0654,154.6278,1026.641,4114.62,0.0382,39.2749,3443.5595,0.9151,15516.6163,0.2631,1790.7168,0.8226,0.7605,0.0632,213.9522,0.0574,102.719,3059.07,2558.93,115.69,521.9,108.78,,268.96,637.35,1115.2,479.74,311.88,212.76,797.81,361.74,27.13,50.7,604.93,3338.67,6625.87,630.68,637.35,47.81,42.18,20.9,0.3,0.7058,-17
Person,37145,10467,6377,4091,1774,3963,879,3609,2,196,136.9,244,0,244,8,0,8,0,0,0.6092,0.1695,9616,3269,0.0885,0.2123,72.0,0.5345,0.8019,0.1582,0.0136,11584.62,10543.19,41808884.0,0.1313,198.1158,1178.997,28477.0,0.1654,635.9102,0.2929,0.6633,3854.2533,0.0355,49.0441,1322.8041,18643.21,0.0055,6.0959,,,0.0754,234.6911,1525.9075,5735.56,0.0369,37.6836,2258.7975,0.9105,14652.5353,0.3023,1750.6234,0.8457,0.7351,0.0513,178.7199,0.1457,315.0457,3740.12,2562.78,88.66,661.22,156.1,,432.27,433.2,1014.03,422.92,301.09,178.56,440.65,233.72,23.98,137.14,604.62,2995.2,7185.34,817.32,433.2,61.57,34.54,16.2,0.0,0.6985,-73
Watauga,37189,9991,4896,5095,930,4394,1048,4739,2,226,187.7,96,44,52,1,1,1,0,0,0.49,0.0931,9489,3582,0.0529,0.2267,73.0,0.5301,0.938,0.0055,0.0127,11242.22,10469.13,53276885.0,0.1222,190.9686,975.7333,27261.92,0.2024,535.345,0.2863,0.7668,6013.2939,0.0338,46.2123,1213.9692,16847.93,0.0036,3.7983,,,0.0791,211.648,1526.9044,4451.81,0.0314,32.4963,3116.9023,0.9287,12834.3532,0.2705,2018.7803,0.8377,0.7525,0.1139,419.9198,0.1074,225.575,3330.8,2665.26,92.62,568.83,97.79,,352.27,512.72,934.49,510.57,298.51,184.91,465.42,84.14,63.65,137.4,772.8,3072.05,6820.79,666.62,512.72,21.85,42.72,45.8,0.4583,0.8305,94
Pasquotank,37139,9731,4265,5466,1707,3715,863,4922,2,278,251.3,278,72,206,5,2,5,0,0,0.4383,0.1754,8661,3027,0.1235,0.2273,73.0,0.5278,0.7225,0.2314,0.0126,12709.63,12268.17,62556785.0,0.1516,254.5713,1294.1894,27043.05,0.2219,823.2426,0.3521,0.702,4425.64,0.0459,61.3572,1842.5437,21888.94,,,,,0.0825,177.7733,1173.7099,3779.27,0.0258,27.2247,2180.4145,0.9352,16304.9573,0.2692,1717.3913,0.8706,0.7706,0.0085,21.3328,0.1694,712.1089,4098.76,1913.34,106.03,1005.06,,,311.74,359.83,1212.12,490.79,375.94,187.93,670.0,265.94,3.13,268.02,1195.37,3956.23,7142.88,1005.06,359.83,74.83,67.64,13.4,0.259,0.904,-117
Yadkin,37197,9629,7064,2566,1466,3830,973,2205,2,223,186.4,169,0,169,3,0,3,0,0,0.7336,0.1522,9009,3304,0.0688,0.1592,72.0,0.5179,0.9234,0.0231,0.0209,13791.89,13372.34,30411114.0,0.1615,263.0385,1551.4739,22939.43,0.1688,652.6077,0.3197,0.8145,7827.2109,0.0349,43.9909,1231.746,17819.25,0.0141,16.3265,0.0,0.0,0.0889,241.2698,1863.0385,5003.39,0.0372,39.0023,2624.0363,0.9265,16770.9751,0.3134,2451.2472,0.7483,0.7764,0.0109,30.3855,0.1429,320.1814,3703.6,3484.32,165.91,622.26,400.67,0.0,444.75,549.19,1163.98,448.22,308.23,189.98,756.47,162.47,3.75,168.85,1115.64,3982.8,8133.37,1022.93,549.19,44.13,48.67,22.7,0.0,0.8359,-3
Jackson,37099,9364,4607,4757,1348,3979,814,4441,2,200,181.4,145,44,101,2,1,2,0,0,0.492,0.144,8868,3179,0.0559,0.2517,73.0,0.5393,0.8998,0.0065,0.011,11710.75,11445.82,52007450.0,0.1353,205.8095,1054.9426,21954.9,0.1629,567.8901,0.2731,0.7814,6953.3889,0.0396,55.1678,1500.1126,20982.01,0.0032,3.828,,,0.048,113.0376,784.7332,3876.92,0.0313,31.2993,1479.6217,0.9057,13715.8298,0.2986,1935.1497,0.7293,0.7172,0.1716,606.8453,0.0676,131.9523,2971.15,2741.43,161.68,831.53,84.19,,185.95,268.78,988.02,430.65,312.98,150.02,834.42,98.65,105.14,75.83,1235.39,3811.92,6479.39,915.72,268.78,36.44,45.59,27.4,0.3034,0.907,27
Alexander,37003,8840,5743,3097,1271,3533,791,2787,1,183,115.6,130,60,70,4,1,4,0,0,0.6497,0.1438,8546,3105,0.0344,0.1378,74.0,0.5396,0.9444,0.023,0.0122,12864.4,12722.42,35853082.0,0.145,218.5145,1209.1855,23299.73,0.167,508.0732,0.2777,0.6236,3399.713,0.0434,51.3097,1553.6419,16832.38,0.0093,9.6878,,,0.0958,261.9304,2112.6659,4639.42,0.0391,40.5454,3531.037,0.9117,14525.296,0.3053,2548.2598,0.8662,0.7714,0.2723,972.7305,0.1374,285.6118,3377.5,2244.73,209.62,730.79,229.97,,444.47,653.21,1082.26,540.44,417.25,204.15,427.62,154.51,118.71,136.96,1712.38,4406.84,6663.76,960.76,653.21,36.8,32.72,27.2,0.4615,0.6317,23
Ashe,37009,8643,4209,4435,1466,3644,911,4319,1,210,115.0,133,42,91,5,2,5,0,0,0.487,0.1696,8067,2968,0.0714,0.2278,74.0,0.5411,0.9685,0.003,0.0079,10377.37,10255.56,44819850.0,0.1317,189.8588,876.3603,20452.35,0.1522,609.8634,0.313,0.7328,4836.9993,0.0389,49.78,1292.8919,15601.01,0.0051,5.3253,,,0.0843,288.7242,2220.8845,5652.03,0.0347,36.351,2698.7729,0.9359,12176.8928,0.2727,2235.2396,0.8307,0.7425,0.169,415.1424,0.1264,263.2554,2694.46,2554.05,60.73,606.85,116.15,,476.35,456.54,866.34,452.4,295.78,175.42,489.23,72.86,55.94,172.1,647.24,3006.3,6006.6,723.0,456.54,36.5,31.56,27.4,0.3158,0.5476,25
Scotland,37165,8377,5562,2815,2146,2996,677,2538,2,207,170.4,100,0,100,1,0,1,0,0,0.664,0.2562,8230,2622,0.0179,0.1426,72.0,0.5307,0.6982,0.2388,0.0087,11939.77,11883.94,30303129.0,0.1702,264.7754,1388.4949,21242.9,0.1563,782.1119,0.3467,0.7293,5340.8195,0.0465,53.5855,1349.8818,13755.85,0.0071,7.8802,,,0.0737,200.5516,1176.1229,4563.33,0.0461,48.8574,3608.353,0.8696,13935.3822,0.2262,1571.316,0.8164,0.7447,0.411,1355.0039,0.1568,562.2537,3615.81,2574.89,83.02,639.55,180.5,,336.23,658.71,1030.63,424.3,340.09,211.43,330.03,283.4,145.04,250.06,516.87,2910.32,7231.48,820.05,658.71,33.38,56.88,30.0,0.0,0.8232,30
