county,fips,enroll,ma,om,dual,a75,a85,ffs_benes,alf_fac,alf_bed,mc_fac,mc_bed,nh_fac,nh_bed,nh_res,ma_pct,dual_pct,enroll_p,a75_p,g5_enroll,g5_a75,avg_age,feml_pct,wht_pct,blk_pct,hsp_pct,pc,pc_std,tot_amt,ip_pct,ip_stays,ip_days,ip_per_user,readmit,er,er_pct,op_pct,op_visits,snf_pct,snf_stays,snf_days,snf_per_user,irf_pct,irf_stays,ltch_pct,ltch_stays,hh_pct,hh_eps,hh_visits,hh_per_user,hospc_pct,hospc_stays,hospc_days,em_pct,em_events,dme_pct,dme_events,tests_pct,imgng_pct,fqhc_pct,fqhc_visits,amblnc_pct,amblnc_events,pc_ip,pc_op,pc_asc,pc_snf,pc_irf,pc_ltch,pc_hh,pc_hospc,pc_em,pc_prcdrs,pc_tests,pc_imgng,pc_dme,pc_op_dlys,pc_fqhc_rhc,pc_amblnc,pc_trtmnts,home_pc,acute_pc,inst_pc,eol_pc,sl_bed,sl_fac,sl_per1k,nh_per1k,per_bed,mc_share,nh_occ,bed_gap
DeKalb,01049,16135,9280,6856,3603,5906,1224,6164,3,72,1,16,3,466,406.1,0.5751,0.2233,15517,4949,0.0398,0.1934,73.0,0.541,0.9539,0.0115,0.019,11850.65,12631.87,73047378.0,0.1471,226.6385,1199.0591,21989.4,0.1667,587.7677,0.2988,0.6533,3305.6457,0.0394,50.7787,1131.4082,11805.53,0.0144,15.4121,,,0.1158,425.6976,2763.7897,5231.6,0.0438,46.8851,4252.9202,0.9117,13573.8157,0.2685,1897.7936,0.8639,0.7448,0.1196,493.5107,0.146,349.9351,3235.62,1748.79,109.15,465.4,345.76,,606.0,684.26,941.5,452.15,471.91,237.21,471.06,112.66,49.43,194.39,1506.85,4283.96,5852.76,811.16,684.26,88,4,14.9,68.76,67.1,0.1818,0.8715,64
Colbert,01033,14595,8243,6353,2880,5387,1299,5654,2,96,3,45,3,302,248.4,0.5648,0.1973,14156,4804,0.031,0.1214,73.0,0.5564,0.8758,0.0967,0.0057,11684.58,12809.79,66064623.0,0.165,252.9183,1290.4139,16406.12,0.183,624.5136,0.3208,0.639,3110.0106,0.0401,54.121,1415.8118,13697.66,0.029,32.5433,,,0.1164,482.3134,3333.2154,5822.68,0.0442,48.815,4801.2027,0.9323,16827.9094,0.2743,1670.8525,0.8834,0.804,0.0573,277.6795,0.1473,385.0371,2707.27,1853.41,77.41,549.94,610.58,,677.63,753.39,1127.47,402.3,427.21,259.65,368.84,134.16,51.99,150.56,1402.28,4315.07,5325.11,1160.52,753.39,141,5,26.17,46.11,38.2,0.3191,0.8225,-2
Jackson,01071,14049,7615,6435,2649,5225,1141,5752,2,48,1,16,3,291,251.5,0.542,0.1886,13318,4555,0.0549,0.1471,73.0,0.5501,0.9619,0.0165,0.0064,12419.84,13231.98,71438934.0,0.1533,228.0946,1181.1544,19933.84,0.1475,567.6287,0.2992,0.6766,3547.9833,0.0424,53.025,1386.6481,13186.15,0.0113,12.8651,,,0.1062,393.4284,2942.9764,5456.71,0.0523,58.2406,5915.5076,0.8969,13880.911,0.2728,1783.032,0.8583,0.7585,0.2401,1242.872,0.1473,360.2225,3056.61,1743.12,123.28,559.36,286.8,,579.63,918.36,971.64,476.19,423.93,270.02,557.6,117.52,165.79,203.71,1845.8,4814.41,5720.43,846.16,918.36,64,3,12.25,48.13,81.6,0.25,0.8643,70
Blount,01009,12430,8338,4092,2082,4731,992,3470,2,56,3,66,2,223,200.8,0.6708,0.1675,13184,4400,-0.0572,0.0752,73.0,0.532,0.9504,0.011,0.0236,13119.81,13861.0,45525756.0,0.1646,253.0259,1313.5447,19551.45,0.1418,594.2363,0.3121,0.6,3010.3746,0.0378,48.9914,1063.4006,17579.85,0.0133,14.121,,,0.1205,423.3429,3237.1758,5693.6,0.0438,45.8213,4497.1182,0.8839,14164.5533,0.3084,1935.1585,0.8032,0.755,0.2741,1726.513,0.1447,326.513,3217.26,1953.33,132.69,663.68,308.05,,685.86,725.5,998.56,517.73,396.3,312.58,955.62,137.98,267.58,175.09,1524.08,5140.58,6134.08,971.73,725.5,122,5,25.79,42.44,38.8,0.541,0.9004,0
Autauga,01001,12268,7410,4858,2096,4480,1072,4000,2,40,2,64,1,162,153.5,0.604,0.1709,11251,3771,0.0904,0.188,73.0,0.5458,0.857,0.1063,0.0088,11809.46,12527.77,47237857.0,0.166,277.0,1539.25,19947.12,0.2069,644.5,0.2983,0.7658,4732.25,0.0313,39.75,966.75,13273.22,0.0205,25.0,,,0.0943,306.25,2283.5,5182.01,0.043,47.0,3795.0,0.912,14924.0,0.265,1628.75,0.8318,0.7615,0.022,87.25,0.1443,357.5,3311.22,2517.25,136.52,414.79,530.56,,488.4,622.2,1064.39,505.21,438.45,195.59,486.05,178.17,15.68,162.08,575.35,3263.91,6810.45,945.35,622.2,104,4,23.21,34.26,43.1,0.6154,0.9475,11
Russell,01113,12176,7171,5005,2756,3946,958,4240,0,0,0,0,3,297,277.4,0.5889,0.2263,11465,3465,0.062,0.1388,70.0,0.5215,0.6634,0.2958,0.0229,11322.76,11726.7,48008482.0,0.1304,208.7264,1063.9151,23187.8,0.2407,587.5,0.2835,0.5863,3937.9717,0.0167,22.8774,757.783,21236.96,0.0356,41.9811,,,0.0943,312.9717,2227.5943,5321.66,0.0295,31.3679,2683.7264,0.8571,14966.5094,0.2601,1595.9906,0.7764,0.6993,0.0467,286.5566,0.1349,488.6792,3024.26,2053.92,192.13,355.62,941.52,,502.04,439.89,1093.02,420.45,415.02,235.22,515.7,406.91,36.39,156.8,418.02,3215.41,6254.47,1297.14,439.89,0,0,0.0,70.3,,,0.934,101
Coffee,01031,11830,6234,5596,2150,4542,1081,5003,3,48,2,32,2,368,239.8,0.527,0.1817,10923,3770,0.083,0.2048,73.0,0.5449,0.8429,0.0969,0.0244,11459.27,12382.26,57330736.0,0.1425,212.8723,1016.59,18211.95,0.1445,650.01,0.316,0.6512,2748.1511,0.031,37.7773,931.4411,12364.91,0.0154,18.389,,,0.1089,398.5609,3150.1099,5114.22,0.0468,49.1705,5569.8581,0.9178,15268.2391,0.263,1559.4643,0.8585,0.7905,0.0951,298.2211,0.1345,466.9198,2595.47,1652.23,185.84,383.08,356.58,,557.12,848.85,1076.3,457.64,384.54,205.42,860.25,157.07,37.79,206.82,1270.36,4391.78,5255.07,739.66,848.85,80,5,17.61,52.8,56.8,0.4,0.6516,37
Tallapoosa,01123,11710,7232,4479,2549,4260,980,3855,3,62,1,42,4,488,381.1,0.6176,0.2177,11483,3616,0.0198,0.1781,73.0,0.5453,0.8682,0.1071,0.0054,13328.57,13981.42,51381623.0,0.1466,218.1582,1142.153,22634.36,0.1443,615.0454,0.3209,0.7523,4636.5759,0.0353,45.3956,1000.2594,11959.23,0.015,17.1206,,,0.117,392.2179,2548.6381,4722.27,0.0389,42.0233,3805.7069,0.9113,13592.9961,0.2475,1702.9831,0.8265,0.7875,0.2444,934.8898,0.1318,415.5642,3317.36,3178.35,76.52,421.91,378.12,,552.46,606.04,948.88,574.09,345.09,291.56,1199.77,202.57,153.03,232.29,662.7,4153.49,7581.18,800.03,606.04,104,4,24.41,89.46,41.0,0.4038,0.7809,6
Dale,01045,11625,6562,5063,2728,4065,984,4443,1,16,0,0,2,287,238.3,0.5645,0.2347,10826,3536,0.0738,0.1496,73.0,0.5343,0.8283,0.1195,0.0223,11925.7,12846.82,52985882.0,0.1528,224.8481,1094.7558,18883.93,0.1727,741.8411,0.3534,0.7234,3985.1452,0.032,39.3878,1050.4164,13141.63,0.0205,23.4076,0.0034,3.3761,0.0977,322.7549,2654.0626,4706.32,0.0446,47.4904,4263.7857,0.9172,15026.7837,0.2793,1709.4306,0.8339,0.7785,0.0551,377.8978,0.1515,381.499,2885.93,1888.86,195.01,420.01,445.4,127.06,459.72,656.88,1087.77,445.6,351.51,207.64,736.18,153.8,86.35,175.96,1435.48,4364.65,5745.16,992.47,656.88,16,1,3.94,58.62,254.1,0.0,0.8303,89
Covington,01039,10308,5885,4423,2488,3831,914,4130,2,32,0,0,3,436,330.8,0.5709,0.2414,9958,3485,0.0351,0.0993,74.0,0.547,0.9271,0.0538,0.0046,12615.9,13253.66,52103664.0,0.1717,276.0291,1277.2397,20569.27,0.2002,773.3656,0.3625,0.724,4020.339,0.045,57.8692,1460.0484,12621.66,0.0099,10.6538,,,0.1312,461.2591,3191.7676,4790.0,0.0518,55.6901,5029.0557,0.9143,15565.1332,0.2949,2003.8741,0.8283,0.7998,0.2915,1026.6344,0.1499,464.6489,3531.14,2321.19,202.22,568.43,216.97,,628.62,789.5,1107.44,508.03,398.91,259.15,512.97,163.34,136.77,276.52,781.04,3824.9,7002.44,785.4,789.5,32,2,8.35,86.35,119.7,0.0,0.7587,67
Chilton,01021,9948,7160,2788,2055,3490,733,2278,1,16,0,0,1,201,95.9,0.7197,0.2066,9668,3019,0.029,0.156,72.0,0.543,0.9183,0.0549,0.0136,13822.71,14438.31,31488131.0,0.1435,221.6857,1147.0588,24567.47,0.2126,645.7419,0.3191,0.6247,2687.4451,0.0184,24.144,534.2406,12814.28,0.0237,27.2169,,,0.1054,310.7989,2237.489,4782.67,0.0492,51.3608,4638.7182,0.9074,16487.2695,0.2608,1693.5909,0.856,0.7717,0.1255,553.1168,0.1326,288.8499,3526.59,2124.82,170.4,236.26,559.53,,503.88,752.52,1123.21,621.46,457.42,410.88,641.22,121.18,77.02,156.05,2195.56,5409.19,6720.5,795.79,752.52,16,1,4.58,27.48,218.1,0.0,0.4771,74
Dallas,01047,9920,7068,2852,3839,3145,757,2250,1,30,0,0,3,343,273.6,0.7125,0.387,9740,2791,0.0185,0.1268,72.0,0.5271,,,,12697.62,13120.46,28569648.0,0.1742,292.8889,1815.1111,24381.04,0.2029,649.7778,0.3244,0.6271,3087.5556,0.0547,74.6667,1941.7778,13823.84,0.0129,16.0,,,0.096,327.5556,1980.4444,4980.38,0.0453,48.4444,3927.1111,0.8693,14879.1111,0.2213,1463.5556,0.7818,0.7258,0.096,356.4444,0.1636,439.1111,4247.72,2028.02,105.4,755.7,353.32,,478.12,617.84,1052.42,435.68,305.79,213.42,459.38,498.81,58.62,208.27,475.13,3042.88,7523.9,1109.02,617.84,30,1,9.54,87.0,104.8,0.0,0.7977,51
Chambers,01017,9111,5951,3160,2310,3147,707,2718,1,16,1,16,4,320,284.5,0.6532,0.2535,8833,2702,0.0315,0.1647,72.0,0.5482,0.7277,0.2483,0.0048,12046.1,12705.05,32741302.0,0.1571,257.1744,1670.3458,22746.38,0.181,690.5813,0.3414,0.6862,4217.0714,0.0386,54.4518,1172.9213,12099.39,0.0188,20.6034,,,0.1104,389.9926,2235.0993,4855.85,0.0467,50.7726,4342.8992,0.897,14839.5879,0.238,1519.1317,0.752,0.7204,0.057,316.777,0.1722,1043.7822,3573.48,2231.48,130.82,467.42,471.71,,535.97,704.45,1029.84,430.36,301.82,194.68,598.79,302.55,63.18,359.2,432.94,3157.22,7027.89,939.13,704.45,32,2,10.17,90.4,98.3,0.5,0.8891,49
Escambia,01053,9021,5566,3454,2104,3307,821,2999,4,86,0,0,2,225,179.7,0.617,0.2332,8834,3014,0.0212,0.0972,73.0,0.5592,,,,13767.24,14509.95,41287939.0,0.1861,294.7649,1421.8073,19942.26,0.1655,814.9383,0.3631,0.8009,6330.7769,0.0547,74.3581,1604.5348,16330.55,0.0117,13.0043,,,0.1557,584.8616,3939.98,5421.75,0.055,57.6859,4726.909,0.8563,13535.1784,0.2768,1585.1951,0.7513,0.7406,0.5999,2758.5862,0.1721,392.1307,3710.5,2481.35,234.35,893.03,296.03,,844.27,761.85,997.34,550.1,336.34,272.3,450.91,217.64,342.58,323.02,856.07,4099.81,7516.96,1189.06,761.85,86,4,26.01,54.34,38.5,0.0,0.7987,-1
Cherokee,01019,7723,4647,3077,1565,2805,573,2748,0,0,1,36,1,185,158.8,0.6017,0.2026,7364,2295,0.0488,0.2222,73.0,0.5164,,,,12302.23,12818.81,33806535.0,0.1648,250.7278,1220.524,20779.96,0.176,572.0524,0.3031,0.6197,2558.952,0.0306,40.393,1037.8457,14782.38,0.0156,17.1033,,,0.1175,421.7613,2766.0116,4985.14,0.052,54.9491,5545.8515,0.9112,14168.1223,0.2427,1510.5531,0.8483,0.7718,0.2369,1278.7482,0.1441,329.3304,3425.52,1862.55,174.8,451.86,440.32,,585.95,880.21,1009.84,479.01,416.31,251.37,441.72,160.69,167.84,157.33,1280.88,4153.91,6259.9,892.18,880.21,36,1,12.83,56.61,77.9,1.0,0.8584,36
Lawrence,01079,7704,4517,3186,1529,2894,631,2922,0,0,0,0,1,136,111.4,0.5863,0.1985,8030,2577,-0.0406,0.123,73.0,0.5421,,,,11464.2,12571.96,33498379.0,0.1564,225.1882,1148.1862,16328.36,0.1347,583.1622,0.3241,0.7211,3578.0287,0.0394,47.2279,1161.8754,12944.12,0.0106,11.2936,,,0.1239,498.6311,3148.5284,5793.85,0.0424,45.859,5297.0568,0.9004,13020.1916,0.2765,2024.6407,0.7971,0.7731,0.2724,1475.7016,0.1465,410.6776,2553.75,1684.74,148.33,509.44,199.1,,717.79,829.3,897.6,411.12,353.06,241.43,750.15,148.47,184.22,171.64,1560.55,4704.8,5118.05,708.54,829.3,0,0,0.0,38.49,,,0.8191,74
Marion,01093,7249,3587,3662,1661,2806,694,3513,3,72,1,26,3,273,221.6,0.4948,0.2291,7452,2649,-0.0272,0.0593,73.0,0.5579,0.9627,0.0216,0.0046,12490.57,13298.23,43879379.0,0.1728,254.1987,1324.509,19423.43,0.1534,650.7259,0.335,0.7532,4437.8024,0.0549,72.3029,1530.6006,11920.46,0.0065,7.1164,,,0.1366,556.5044,3871.9044,5572.29,0.0615,65.1865,7010.5323,0.9021,13707.9419,0.2602,1673.4984,0.7894,0.7597,0.3348,1978.9354,0.1543,341.3037,3356.11,2024.45,129.65,654.9,186.23,,761.37,1089.32,953.63,408.72,343.17,218.03,448.99,124.21,305.55,343.59,880.7,3911.44,6386.73,841.13,1089.32,98,4,34.93,78.97,28.6,0.2653,0.8117,-26
Geneva,01061,7232,4336,2896,1803,2705,637,2569,2,54,0,0,2,182,143.7,0.5996,0.2493,6950,2366,0.0406,0.1433,73.0,0.5364,0.9276,0.0525,0.0062,11885.35,12988.69,30533468.0,0.1612,236.2787,1213.3126,18592.19,0.1389,652.0047,0.3239,0.6501,3097.7034,0.0397,47.4893,1150.6423,11732.17,0.0191,19.8521,,,0.132,450.7591,3254.963,4753.15,0.0568,60.724,6493.9665,0.8984,14379.5251,0.2842,1720.1246,0.8346,0.7797,0.1658,656.6757,0.1436,323.4722,2996.17,1487.69,204.65,465.82,431.5,,627.22,995.76,1031.52,494.46,366.99,197.39,639.04,132.92,83.08,172.87,1335.51,4280.75,5488.76,897.32,995.76,54,2,19.96,53.12,50.1,0.0,0.7896,16
Pike,01109,6962,4566,2396,1856,2568,635,1930,2,32,1,16,1,220,130.4,0.6558,0.2666,6500,2247,0.0711,0.1429,73.0,0.5275,,,,11858.73,12663.07,22887354.0,0.1456,219.171,1224.3523,20264.84,0.1772,704.1451,0.3363,0.6881,3506.7358,0.0295,31.6062,923.8342,12022.47,0.0202,23.3161,,,0.1244,492.7461,3446.114,5234.64,0.0363,38.342,3811.9171,0.8798,14091.7098,0.256,1465.285,0.8238,0.7518,0.243,801.0363,0.1617,785.4922,2950.48,2106.46,191.77,355.07,484.29,,650.94,592.44,999.43,442.14,342.95,198.68,466.79,356.97,110.35,317.52,794.34,3563.48,6365.34,839.36,592.44,48,3,18.69,50.78,53.5,0.3333,0.5927,18
Franklin,01059,6824,3584,3240,1584,2522,600,2955,1,29,0,0,4,260,208.1,0.5252,0.2321,6772,2289,0.0077,0.1018,73.0,0.558,0.9435,0.0244,0.0206,13095.56,14485.84,38697367.0,0.1929,301.8613,1680.203,18026.49,0.1973,671.4044,0.3377,0.6474,3253.4687,0.0697,94.0778,2340.1015,16001.83,0.0122,12.8596,0.0,0.0,0.1452,675.1269,4362.0981,6294.39,0.0501,56.8528,5904.9069,0.8958,14429.78,0.2799,1776.9882,0.8382,0.7736,0.3137,1912.6904,0.155,522.8426,3477.19,1940.9,101.11,1115.53,257.15,0.0,913.8,911.31,986.93,430.11,406.95,225.08,505.29,141.53,314.72,244.11,973.42,4326.19,6334.95,1372.68,911.31,29,1,11.5,82.51,87.0,0.0,0.8004,36
Clarke,01025,6455,4383,2072,1699,2269,566,1780,1,16,0,0,2,171,152.2,0.679,0.2632,6422,2139,0.0051,0.0608,73.0,0.5365,,,,12326.52,13126.37,21941212.0,0.1708,245.5056,1536.5169,18814.01,0.1493,634.2697,0.3163,0.7045,3231.4607,0.0416,48.8764,987.0787,16433.0,0.0079,7.8652,,,0.1337,413.4831,2987.6404,4401.55,0.0635,67.4157,7591.573,0.8337,12262.9213,0.2612,1683.1461,0.7567,0.732,0.5056,2039.3258,0.1478,340.4494,3213.18,2055.13,178.89,683.17,196.18,,588.52,1174.9,847.36,425.0,276.52,309.62,619.98,169.17,294.53,280.68,804.46,3740.99,6322.05,879.35,1174.9,16,1,7.05,67.08,141.8,0.0,0.8901,42
Winston,01133,6405,3639,2766,1439,2392,532,2442,2,33,1,16,2,207,172.6,0.5681,0.2247,6134,2091,0.0442,0.144,73.0,0.5311,,,,13253.58,13962.87,32365252.0,0.1949,333.7428,1698.1982,21975.99,0.2028,628.1736,0.3149,0.6286,2452.9075,0.0549,80.2621,2062.6536,15106.53,0.0094,11.0565,,,0.1351,486.077,3291.5643,5122.24,0.0536,60.1966,6382.0639,0.921,15104.8321,0.2744,1815.3153,0.8518,0.7625,0.1671,1242.8337,0.1552,367.3219,4283.61,1560.69,64.82,828.94,220.01,,692.19,985.06,1037.28,476.03,394.49,288.53,529.62,102.88,251.94,275.78,1034.66,4228.71,6763.81,1048.95,985.06,49,3,20.48,72.16,48.8,0.3265,0.8338,13
Randolph,01111,6365,3713,2652,1321,2271,509,2359,1,16,0,0,2,188,130.9,0.5833,0.2075,5914,1917,0.0763,0.1847,73.0,0.5231,0.8855,0.0928,0.0051,12104.79,12637.15,28555189.0,0.1547,233.9975,1236.117,21617.93,0.1706,701.9924,0.3417,0.6469,3155.1505,0.0466,55.1081,1199.237,14234.34,0.0072,7.6304,,,0.12,369.6482,2289.5295,4349.26,0.0526,58.4994,5793.9805,0.8427,10805.8499,0.2611,1981.348,0.8334,0.7113,0.5549,2308.6053,0.1471,512.0814,3344.87,2504.39,140.11,663.75,177.47,,521.76,891.28,789.78,450.96,377.15,174.4,518.54,144.4,373.3,344.12,530.19,3285.12,6928.85,841.22,891.28,16,1,7.05,57.64,141.9,0.0,0.6963,42
Barbour,01005,6267,4229,2038,1834,2357,497,1783,2,32,0,0,1,180,161.0,0.6748,0.2926,6191,1979,0.0123,0.191,73.0,0.5233,,,,14730.5,15833.86,26264484.0,0.184,305.1038,1586.0909,20916.91,0.2261,776.2199,0.3393,0.7269,3980.3702,0.0387,52.7201,1195.1767,12108.07,0.0342,38.6988,,,0.1329,446.4386,3404.9355,4685.02,0.0533,57.207,7618.6203,0.894,15074.5934,0.2849,1695.4571,0.8446,0.7919,0.281,1092.5407,0.1638,443.0735,3847.87,1920.15,225.61,468.57,801.64,,622.74,1154.4,1112.13,503.26,399.05,224.02,1040.67,259.18,144.2,249.69,1576.73,5119.54,7005.76,1270.21,1154.4,32,2,13.58,68.31,73.7,0.0,0.8944,29
Marengo,01091,5336,3413,1923,1639,1761,448,1704,2,28,1,16,2,153,135.2,0.6396,0.3072,5429,1591,-0.0171,0.1069,71.0,0.5335,,,,12011.0,12442.86,20466739.0,0.1631,231.8075,1492.9577,20821.12,0.1315,585.0939,0.2946,0.7048,4087.4413,0.0288,35.7981,930.1643,23585.15,0.007,7.6291,,,0.1133,421.9484,2330.9859,4578.09,0.0499,56.9249,6275.8216,0.8603,13041.0798,0.2324,1228.2864,0.7993,0.7265,0.3011,1221.2441,0.1215,490.0235,3396.87,2286.05,152.98,678.21,182.08,,518.53,964.07,887.06,432.01,370.04,268.21,325.03,367.44,151.04,308.66,599.45,3119.36,6944.01,860.29,964.07,44,3,24.99,76.77,40.0,0.3636,0.8837,1
Monroe,01099,5310,3566,1744,1302,1830,413,1527,1,16,0,0,2,171,139.1,0.6716,0.2452,5324,1704,-0.0026,0.0739,72.0,0.5305,,,,11861.92,12461.23,18113158.0,0.1447,215.4551,1153.2417,20751.93,0.1613,747.8716,0.3726,0.7007,3178.7819,0.0537,70.072,1518.0092,12450.41,,,,,0.1297,507.5311,3834.3157,5198.52,0.0445,47.1513,4980.3536,0.8756,12270.465,0.2397,1450.5566,0.8035,0.74,0.2115,918.1401,0.1552,381.1395,3003.39,2279.58,158.44,668.59,,,674.07,785.97,854.69,481.45,284.43,233.22,624.54,189.19,157.33,295.62,684.08,3512.36,6407.67,668.59,785.97,16,1,8.74,76.01,114.4,0.0,0.8135,31
Henry,01067,5261,3413,1848,1112,2038,411,1552,2,32,0,0,1,142,83.0,0.6487,0.2114,4863,1580,0.0818,0.2899,73.0,0.5341,,,,12670.08,13648.79,19663961.0,0.1643,266.7526,1304.768,19508.17,0.194,581.8299,0.2951,0.6385,3246.134,0.0341,43.1701,1146.2629,14043.63,0.0251,29.6392,,,0.1121,387.8866,2969.7165,4877.05,0.0354,38.0155,3329.8969,0.9079,16259.0206,0.3073,2057.3454,0.875,0.7861,0.1321,576.0309,0.1437,365.3351,3205.27,2261.34,228.42,479.58,591.97,,546.78,516.1,1178.49,539.13,420.03,221.6,758.12,188.09,77.02,170.14,936.05,4138.09,6592.39,1071.55,516.1,32,2,15.7,40.73,63.7,0.0,0.5845,20
Pickens,01107,5023,2985,2038,1419,1748,454,1806,0,0,0,0,2,185,146.1,0.5943,0.2825,4985,1589,0.0076,0.1001,72.0,0.5349,,,,12447.4,12860.05,22479998.0,0.1528,225.3599,1294.5736,24398.71,0.1799,568.66,0.3073,0.5548,2766.3344,0.0426,54.8173,1337.763,13927.82,0.0061,6.0908,,,0.1224,527.1318,3188.2614,6588.52,0.0465,48.7265,4606.3123,0.9014,16032.6689,0.2835,1782.392,0.8466,0.7619,0.0842,340.5316,0.1257,256.9214,3728.71,1871.38,238.25,593.82,138.35,,806.24,794.94,1119.75,510.76,398.71,273.3,616.54,202.44,55.65,175.02,774.94,4045.13,6726.56,732.17,794.94,0,0,0.0,83.58,,,0.7897,45
Butler,01013,4990,3248,1742,1503,1733,436,1530,2,44,1,16,2,209,167.0,0.6509,0.3012,4966,1621,0.0048,0.0691,73.0,0.5307,,,,10987.2,11568.04,16810412.0,0.1431,216.9935,1173.2026,19321.23,0.1791,560.1307,0.298,0.7418,4518.3007,0.0307,41.1765,979.085,12837.63,0.0098,11.7647,,,0.0928,353.5948,2384.3137,5022.57,0.0601,64.7059,9171.2418,0.8699,11929.4118,0.3,2220.2614,0.7935,0.7399,0.2444,1177.7778,0.1248,287.5817,2765.59,2321.38,158.85,394.36,241.57,,466.15,1352.57,815.26,430.85,363.43,179.35,442.1,,157.52,186.92,447.65,2871.46,5863.59,635.93,1352.57,60,3,34.62,96.36,28.9,0.2667,0.799,-15
Bibb,01007,4830,3323,1507,1117,1650,391,1227,0,0,0,0,1,131,108.3,0.688,0.2313,4736,1420,0.0198,0.162,71.0,0.5232,,,,11629.87,11909.65,14269845.0,0.163,254.2787,1564.7922,22357.1,0.1357,625.1019,0.3227,0.6683,3365.1182,0.053,70.9046,2193.154,16883.95,0.013,14.6699,,,0.0937,351.2632,2295.8435,5807.48,0.0399,40.7498,3638.9568,0.8215,11696.8215,0.22,1576.2021,0.7416,0.7074,0.4784,3488.1826,0.1157,261.6137,3644.19,1559.35,133.22,894.42,353.46,,544.3,588.04,821.87,414.43,337.65,244.0,484.19,,358.35,121.94,769.23,3559.59,5873.13,1247.88,588.04,0,0,0.0,65.64,,,0.8267,42
Macon,01087,4698,3056,1642,1329,1734,412,1180,0,0,0,0,1,111,85.4,0.6505,0.2829,4624,1451,0.016,0.195,72.0,0.5415,,,,11056.88,11732.69,13047120.0,0.1347,206.7797,1596.6102,24199.67,0.1745,597.4576,0.2966,0.6534,3593.2203,0.0237,29.661,966.9492,16382.87,0.0127,14.4068,,,0.0864,300.8475,1944.9153,5255.29,0.0347,35.5932,4061.0169,0.8356,13332.2034,0.2322,1390.678,0.7551,0.6898,0.1432,683.0508,0.1203,413.5593,3260.8,2218.6,89.98,388.75,359.91,,454.27,642.55,965.11,331.94,291.72,178.4,320.61,467.48,108.65,202.1,545.58,2864.34,6570.9,748.66,642.55,0,0,0.0,49.25,,,0.7694,45
Fayette,01057,4471,2389,2082,1004,1700,426,1933,1,38,0,0,1,122,107.8,0.5343,0.2246,4613,1554,-0.0308,0.094,73.0,0.5437,0.9043,0.0724,0.0083,12882.93,13214.19,24902698.0,0.1686,258.6653,1376.6167,21892.09,0.1706,704.0869,0.3549,0.7594,5523.0212,0.0445,57.941,1278.8412,12985.18,0.0057,7.2426,,,0.1511,622.866,4076.5649,5603.4,0.046,48.1117,3952.4056,0.9167,14138.1273,0.2757,1695.8096,0.7946,0.7843,0.1216,568.5463,0.1578,410.2431,3692.1,2479.16,92.12,577.72,180.57,,846.45,642.31,995.83,489.34,343.46,224.24,445.54,73.92,128.24,317.08,1041.7,4025.46,7143.72,758.29,642.31,38,1,22.35,63.41,44.7,0.0,0.8836,6
Washington,01129,4463,2791,1672,941,1612,357,1510,0,0,0,0,1,88,75.8,0.6254,0.2108,4234,1365,0.0541,0.181,73.0,0.5272,,,,13864.71,14974.77,20935712.0,0.1834,274.8344,1652.3179,21142.84,0.1939,661.5894,0.3503,0.7781,3857.6159,0.0397,49.6689,894.0397,35645.93,,,0.0073,7.947,0.1232,394.0397,3098.6755,4906.96,0.0424,47.0199,5171.5232,0.8576,13568.8742,0.2675,1570.1987,0.7874,0.7682,0.5775,2729.8013,0.147,290.7285,3878.52,1828.17,196.87,1416.39,,273.36,604.43,808.13,990.81,522.38,305.71,361.86,706.62,,299.26,232.34,1075.05,4343.74,6658.28,1689.75,808.13,0,0,0.0,47.02,,,0.8614,41
Hale,01065,4285,2829,1455,1417,1296,303,1169,0,0,1,40,2,165,144.4,0.6602,0.3307,4011,1107,0.0683,0.1707,70.0,0.5235,,,,13401.93,13496.62,15666852.0,0.1591,253.2079,1617.6219,23207.04,0.1901,662.1044,0.3199,0.5962,3273.7382,0.0393,50.4705,1365.2695,14884.8,0.0094,9.4098,,,0.1069,420.0171,3078.6997,5802.36,0.0513,53.0368,5725.4063,0.8563,12451.6681,0.2455,1590.2481,0.7759,0.7425,0.3576,2313.0881,0.1403,395.2096,3692.48,2643.7,140.45,585.72,219.99,,620.44,937.14,886.36,518.63,334.21,264.23,1022.47,291.63,245.32,223.54,417.15,3790.18,7510.43,805.71,937.14,40,1,30.86,111.42,32.4,1.0,0.8752,-7
